Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
great,2.281492,308.585924,1970.374526,3161.715258,3493.824731
great,2.287742,316.226402,1980.83418,3197.144152,3581.822929
great,2.293992,345.476524,1893.641322,3214.938259,3661.695441
great,2.300242,306.380956,1897.854574,3223.61084,3721.744985
great,2.306492,315.23597,1911.851977,3258.985425,3713.838525
great,2.312742,321.875089,1906.911888,3225.065032,3744.040231
great,2.318992,327.705431,1870.478725,3119.969421,3721.336293
great,2.325242,296.070502,1952.966852,3074.26342,3749.017389
great,2.331492,329.638335,1925.63927,3177.528061,3787.34888
great,2.337742,341.324763,1926.791667,3281.77671,3725.019555
great,2.343992,318.908565,1960.647305,3261.842678,3718.818739
great,2.350242,299.826769,1926.161379,3079.016478,3776.376356
great,2.356492,349.129039,1924.053204,3091.225733,3763.136093
great,2.362742,361.258378,1867.991636,3126.471566,3781.734214
great,2.368992,429.569544,1789.379569,3152.618777,3714.341477
great,2.375242,482.793739,1836.380668,3109.70499,3729.101365
great,2.381492,468.050293,1825.559688,3082.340534,3715.182349
great,2.387742,472.526514,1868.97371,3083.190622,3684.441839
great,2.393992,494.170177,1704.428972,3039.54865,3665.355535
great,2.400242,529.607767,1564.415295,3215.899909,3790.814299
great,2.406492,582.955889,1244.269177,3108.886934,3749.689233
great,2.412742,665.302509,835.763786,2939.107619,3719.578982
great,2.418992,825.123181,2623.283033,3326.483673,4264.848149
great,2.425242,567.341665,1591.694138,2863.922632,4065.46682
great,2.431492,673.632212,1621.944612,2845.92595,3999.573755
great,2.437742,684.606562,1590.880069,2775.986758,3972.896501
great,2.443992,674.093682,1594.386902,2749.915187,3974.544209
great,2.450242,618.825766,1641.007013,2803.76009,4035.837725
great,2.456492,601.939504,1722.519417,2889.377467,4060.384165
great,2.462742,631.482928,1664.70807,2815.700885,4021.981265
great,2.468992,645.857816,1644.800097,2808.743043,4057.095604
great,2.475242,592.137841,1639.246502,2791.658165,4086.809671
great,2.481492,551.457997,1637.494888,2711.276681,4048.798617
great,2.487742,534.133245,1656.82734,2704.764782,3976.163577
great,2.493992,596.36376,1647.594663,2752.935794,4033.323416
great,2.500242,613.513742,1648.903818,2719.125344,4010.65301
great,2.506492,545.994895,1628.385286,2680.252377,3922.602328
great,2.512742,495.959306,1625.833324,2677.464899,4018.289521
great,2.518992,375.762733,1606.263317,2659.623799,3968.194029
great,2.525242,276.984031,1570.871875,2623.473398,3900.984224
great,2.531492,196.881197,1620.826363,2679.455921,4143.005052
great,2.537742,183.940588,1434.861147,2585.739736,4023.033825
great,2.543992,189.724116,1516.842793,2566.55893,3841.129496
great,2.550242,161.429497,1511.322286,2700.389031,3956.587096
great,2.556492,1396.539239,2805.212673,4294.961477,4861.542633
